ID,EIN,Label,Address,City,State,Zip,Assets,Income,Revenue,,,
27,363432023,CHICAGO COMMUNITY FOUNDATION,225 N MICHIGAN AVE,CHICAGO ,IL,60601-775,1,1,1,0,,
53,136162841,INTERNATIONAL COMMITTEE ON JOURNALISM INC,370 1ST AVE APT 2C,NEW YORK ,NY,10010-494,1,1176,1176,0,,
102,943386001,SOUND SAFE INC,870 MARKET ST STE 1260,SAN FRANCISCO ,CA,94102-291,1,1,1,0,,
19,776032284,BERNARD L MESSINGER FAMILY LIVING TRUST DTD 080582,PO BOX Q,CARMEL ,CA,93921-058,6720,32713,32713,8.812843434,,
54,946757863,JACK H LUND CHARITABLE TR,1000 LOMBARD ST,SAN FRANCISCO ,CA,94109-151,12297,1,1,9.417110609,,
40,450501297,FRIENDS OF THE JEWISH CULTURE FESTIVAL SOCIETY INC,300 E 42ND ST 8TH FLR,NEW YORK ,NY,10017-594,27561,336276,331581,10.22415701,,
28,770414442,CHONG-MOON LEE FOUNDATION,2440 W EL CAMINO REAL STE 300,MOUNTAIN VIEW ,CA,94040-149,28578,585000,585000,10.26039247,,
104,386058308,SPX FOUNDATION,13320 BALLANTYNE CORPORATE PL,CHARLOTTE ,NC,28277-360,36414,1,1,10.5027086,,
10,363337340,AON FOUNDATION,PO BOX 81200,CHICAGO ,IL,60681-020,50035,1,1,10.82047804,,
92,941656083,SAN FRANCISCO CONSORTIUM,2130 FULTON ST,SAN FRANCISCO ,CA,94117-108,64533,216,216,11.074932,,
129,770381972,WENDER-WEIS FOUNDATION FOR CHILDREN,555 BRYANT ST STE 300,PALO ALTO ,CA,94301-170,72640,1,1,11.19327101,,
55,133852855,JAVNE FUND,420 COLUMBUS AVE STE 304,VALHALLA ,NY,10595-138,74942,750577,750577,11.22446976,,
12,30524939,ARTS FEDERATION INC,125 WASHINGTON ST STE 201,SALEM ,MA,01970-353,94386,204855,204855,11.45514804,,
61,946063948,JULIA KLUMPKE TRUST,695 PACHECO ST,SAN FRANCISCO ,CA,94116-137,174671,25879,17333,12.07065948,,
26,581970134,CENTRAL EUROPE CENTER FOR RESEARCH & DOCUMENTATION INC,1141 LOXFORD TER,SILVER SPRING ,MD,20901-113,178066,997432,997432,12.08990955,,
64,316675733,KANBAR CHARITABLE TR,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,397123,1700001,1700001,12.89200134,,
75,132700517,NATIONAL CONFERENCE ON SOVIET JEWRY,2020 K STREET NW STE 7800,WASHINGTON ,DC,20006-180,407347,981622,981622,12.91742068,,
1,582138525,ALLIANCE OF ARTISTS COMMUNITIES,255 S MAIN ST,PROVIDENCE ,RI,02903-291,487568,849587,839667,13.09718505,,
82,941748316,PATAPHYSICAL BROADCASTING FOUNDATION INC,203 8TH AVE,SANTA CRUZ ,CA,95062-461,549641,1159007,1159007,13.21702062,,
5,133813924,AMERICAN FRIENDS OF THE SHANGHAI MUSEUM INC,530 E 86TH ST SUITE 10 B,NEW YORK ,NY,10028-753,555418,121744,121744,13.22747626,,
131,132740460,WOMEN MAKE MOVIES INC,115 W 29TH ST RM 1200,NEW YORK ,NY,10001-505,717066,1,1,13.48292317,,
105,30490864,SWINERTON FOUNDATION,260 TOWNSEND ST 5TH FLR,SAN FRANCISCO ,CA,94107-171,727201,1,1,13.4969582,,
130,770276529,WILSON SONSINI GOODRICH & ROSATI FOUNDATION,650 PAGE MILL RD,PALO ALTO ,CA,94304-100,792172,898977,898977,13.58253382,,
71,943182526,MOLDAW FAMILY SUPPORTING FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,890194,1110363,140642,13.6991947,,
80,943284917,NEW ART TRUST,3699 WASHINGTON ST,SAN FRANCISCO ,CA,94118-183,1013510,1,1,13.82893011,,
86,571154844,REBOOT INC,245 RUSSELL ST STE 20,HADLEY ,MA,01035-956,1037208,1783145,1783145,13.85204305,,
107,931104762,TARBELL FAMILY FOUNDATION,220 NW 2ND AVE STE 1000,PORTLAND ,OR,97209-394,1101023,1,1,13.91175031,,
128,61663494,VASICEK FOUNDATION,PO BOX 1501,PENNINGTON ,NJ,08534-067,1611335,1,1,14.29257359,,
111,311626194,THE BODRI FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,2057993,714168,128923,14.53724179,,
15,10459572,ASSOCIATES OF THE OSHER MAP LIBRARY,PO BOX 9301,PORTLAND ,ME,04104-930,2069047,1314041,1016634,14.54259867,,
84,942472322,RADIO BILINGUE INC,5005 E BELMONT AVE,FRESNO ,CA,93727-244,2122159,2398758,2398758,14.56794452,,
76,522055624,NATIONAL FILM PRESERVATION FOUNDATION,870 MARKET ST STE 1113,SAN FRANCISCO ,CA,94102-292,2182959,1275764,1160716,14.59619185,,
72,943006979,MORRISON & FOERSTER FOUNDATION,425 MARKET ST,SAN FRANCISCO ,CA,94105-240,2379772,3683272,3683272,14.68251524,,
85,200755090,REALOGY CHARITABLE FOUNDATION INC,175 PARK AVE,MADISON ,NJ,07940-112,2512829,2701311,2306415,14.73691977,,
35,363722029,COVENANT FOUNDATION,1270 AVE OF THE AMERICAS,NEW YORK ,NY,10020-170,2662666,3747286,3747286,14.79483843,,
132,800304869,YERBA BUENA COMMUNITY BENEFIT DISTRICT,5 3RD ST STE 914,SAN FRANCISCO ,CA,94103-321,2699231,2456528,2456528,14.80847748,,
70,237749796,MIDDLE EAST FORUM,SUITE 1050,PHILADELPHIA ,PA,19102-000,2741137,4690909,4676303,14.82388336,,
116,943348127,THE LEVINE-LENT FAMILY FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,2947102,2336046,1059655,14.89633287,,
62,943331010,JUSTGIVE,312 SUTTER ST STE 410,SAN FRANCISCO ,CA,94108-431,3283395,42459207,42358313,15.00438851,,
110,943104872,THE BERNARD OSHER JEWISH PHILANTHROPIES FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,3674984,3352922,326686,15.11705934,,
65,363160355,KIRKLAND & ELLIS FOUNDATION,300 N LASALLE DR STE 1018,CHICAGO ,IL,60654-340,4272186,8434639,7178264,15.2676362,,
96,941189846,SAN FRANCISCO OPERA GUILD,301 VAN NESS AVE,SAN FRANCISCO ,CA,94102-450,4341228,2128097,2128097,15.28366782,,
68,770273721,LOS ALTOS COMMUNITY FOUNDATION,183 HILLVIEW AVE,LOS ALTOS ,CA,94022-374,5737197,8237518,921746,15.56248132,,
66,770557004,KLA-TENCOR FOUNDATION,1 TECHNOLOGY DR,MILPITAS ,CA,95035-791,6194253,1,1,15.63913248,,
52,943307253,INSTITUTE FOR JEWISH AND COMMUNITY RESEARCH,3198 FULTON ST,SAN FRANCISCO ,CA,94118-381,7139090,2749875,812904,15.78109588,,
20,510515757,BINGHAM OSBORN & SCARBOROUGH FOUNDATION,5 HAMILTON LNDG STE 200,NOVATO ,CA,94949-826,7214396,1249658,690174,15.79158903,,
109,943399181,TAUBE KORET CAMPUS FOR JEWISH LIFE,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,7289026,1,1,15.80188049,,
3,131566058,AMERICAN CRAFT COUNCIL,1224 MARSHALL ST NE STE 200,MINNEAPOLIS ,MN,55413-108,7343454,5046248,4835964,15.80931986,,
119,943308293,THE PRENTICE AND PAUL@SACK PHOTOGRAPHIC TRUST,111 PINE ST STE 1600,SAN FRANCISCO ,CA,94111-561,7415360,40021,40021,15.81906408,,
50,942686530,HORIZONS FOUNDATION,550 MONTGOMERY STREET SUITE 70,SAN FRANCISCO ,CA,94111-253,7591272,4947771,2678194,15.84250972,,
51,943067804,INDEPENDENT CHARITIES OF AMERICA,1100 LARKSPUR LANDING CIRCLE,LARKSPUR ,CA,94939-182,7897786,34066461,34066461,15.88209302,,
6,942951480,AMERICAN HIMALAYAN FOUNDATION,909 MONTGOMERY ST,SAN FRANCISCO ,CA,94133-461,8872506,5542229,5289927,15.99846784,,
18,204571122,BERNARD AND BARBRO FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,9018809,214880,101448,16.01482284,,
36,721563142,DIRK AND CHARLENE KABCENELL FOUNDATION,2440 W EL CAMINO REAL STE 300,MOUNTAIN VIEW ,CA,94040-149,9308193,2704452,2655514,16.04640554,,
30,412024986,COMMON SENSE MEDIA,650 TOWNSEND ST STE 435,SAN FRANCISCO ,CA,94103-622,9583277,13763695,13071783,16.07553016,,
39,946107956,FRANK A CAMPINI FOUNDATION,220 SANSOME ST STE 700,SAN FRANCISCO ,CA,94104-272,10069299,1,1,16.12500165,,
83,113690722,PEARSON CHARITABLE FOUNDATION,330 HUDSON ST,NEW YORK ,NY,10013-101,11190706,16937672,16853011,16.23059417,,
56,521611546,JEWELS OF CHARITY INC,443 NORTHFIELD AVE,WEST ORANGE ,NJ,07052-309,12401295,3153267,22188,16.33331146,,
