ID,EIN,Label,Address,City,State,Zip,Assets,Income,Revenue
27,363432023,CHICAGO COMMUNITY FOUNDATION,225 N MICHIGAN AVE,CHICAGO ,IL,60601-775,1,1,1
53,136162841,INTERNATIONAL COMMITTEE ON JOURNALISM INC,370 1ST AVE APT 2C,NEW YORK ,NY,10010-494,1,1176,1176
102,943386001,SOUND SAFE INC,870 MARKET ST STE 1260,SAN FRANCISCO ,CA,94102-291,1,1,1
54,946757863,JACK H LUND CHARITABLE TR,1000 LOMBARD ST,SAN FRANCISCO ,CA,94109-151,12297,1,1
40,450501297,FRIENDS OF THE JEWISH CULTURE FESTIVAL SOCIETY INC,300 E 42ND ST 8TH FLR,NEW YORK ,NY,10017-594,27561,336276,331581
28,770414442,CHONG-MOON LEE FOUNDATION,2440 W EL CAMINO REAL STE 300,MOUNTAIN VIEW ,CA,94040-149,28578,585000,585000
104,386058308,SPX FOUNDATION,13320 BALLANTYNE CORPORATE PL,CHARLOTTE ,NC,28277-360,36414,1,1
10,363337340,AON FOUNDATION,PO BOX 81200,CHICAGO ,IL,60681-020,50035,1,1
92,941656083,SAN FRANCISCO CONSORTIUM,2130 FULTON ST,SAN FRANCISCO ,CA,94117-108,64533,216,216
129,770381972,WENDER-WEIS FOUNDATION FOR CHILDREN,555 BRYANT ST STE 300,PALO ALTO ,CA,94301-170,72640,1,1
55,133852855,JAVNE FUND,420 COLUMBUS AVE STE 304,VALHALLA ,NY,10595-138,74942,750577,750577
12,30524939,ARTS FEDERATION INC,125 WASHINGTON ST STE 201,SALEM ,MA,01970-353,94386,204855,204855
61,946063948,JULIA KLUMPKE TRUST,695 PACHECO ST,SAN FRANCISCO ,CA,94116-137,174671,25879,17333
26,581970134,CENTRAL EUROPE CENTER FOR RESEARCH & DOCUMENTATION INC,1141 LOXFORD TER,SILVER SPRING ,MD,20901-113,178066,997432,997432
64,316675733,KANBAR CHARITABLE TR,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,397123,1700001,1700001
75,132700517,NATIONAL CONFERENCE ON SOVIET JEWRY,2020 K STREET NW STE 7800,WASHINGTON ,DC,20006-180,407347,981622,981622
1,582138525,ALLIANCE OF ARTISTS COMMUNITIES,255 S MAIN ST,PROVIDENCE ,RI,02903-291,487568,849587,839667
82,941748316,PATAPHYSICAL BROADCASTING FOUNDATION INC,203 8TH AVE,SANTA CRUZ ,CA,95062-461,549641,1159007,1159007
5,133813924,AMERICAN FRIENDS OF THE SHANGHAI MUSEUM INC,530 E 86TH ST SUITE 10 B,NEW YORK ,NY,10028-753,555418,121744,121744
105,30490864,SWINERTON FOUNDATION,260 TOWNSEND ST 5TH FLR,SAN FRANCISCO ,CA,94107-171,727201,1,1
130,770276529,WILSON SONSINI GOODRICH & ROSATI FOUNDATION,650 PAGE MILL RD,PALO ALTO ,CA,94304-100,792172,898977,898977
71,943182526,MOLDAW FAMILY SUPPORTING FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,890194,1110363,140642
80,943284917,NEW ART TRUST,3699 WASHINGTON ST,SAN FRANCISCO ,CA,94118-183,1013510,1,1
86,571154844,REBOOT INC,245 RUSSELL ST STE 20,HADLEY ,MA,01035-956,1037208,1783145,1783145
107,931104762,TARBELL FAMILY FOUNDATION,220 NW 2ND AVE STE 1000,PORTLAND ,OR,97209-394,1101023,1,1
128,61663494,VASICEK FOUNDATION,PO BOX 1501,PENNINGTON ,NJ,08534-067,1611335,1,1
111,311626194,THE BODRI FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,2057993,714168,128923
15,10459572,ASSOCIATES OF THE OSHER MAP LIBRARY,PO BOX 9301,PORTLAND ,ME,04104-930,2069047,1314041,1016634
